s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
South Kordofan,2540,SD07,11.293547,30.847982,Al Quoz,SD07094,12.46781,29.924219,3306
North Kordofan,30,SD13,14.847728,29.761701,Al Quoz,SD07094,12.46781,29.924219,30
Khartoum,15754,SD01,15.851318,32.843002,An Nuhud,SD18022,13.165317,28.3054,17041
North Kordofan,548,SD13,14.847728,29.761701,An Nuhud,SD18022,13.165317,28.3054,10057
South Kordofan,6,SD07,11.293547,30.847982,An Nuhud,SD18022,13.165317,28.3054,725
North Darfur,8,SD02,16.217571,25.556517,An Nuhud,SD18022,13.165317,28.3054,1625
West Kordofan,725,SD18,11.906944,28.392115,An Nuhud,SD18022,13.165317,28.3054,3560
Khartoum,28275,SD01,15.851318,32.843002,Ar Rahad,SD13030,13.233515,34.808656,32203
Khartoum,28275,SD01,15.851318,32.843002,Ar Rahad,SD13030,12.751902,30.665244,32203
North Kordofan,3038,SD13,14.847728,29.761701,Ar Rahad,SD13030,13.233515,34.808656,9785
North Kordofan,3038,SD13,14.847728,29.761701,Ar Rahad,SD13030,12.751902,30.665244,9785
South Kordofan,960,SD07,11.293547,30.847982,Ar Rahad,SD13030,13.233515,34.808656,9175
South Kordofan,960,SD07,11.293547,30.847982,Ar Rahad,SD13030,12.751902,30.665244,9175
Aj Jazirah,25,SD15,14.589485,33.27362,Ar Rahad,SD13030,13.233515,34.808656,165
Aj Jazirah,25,SD15,14.589485,33.27362,Ar Rahad,SD13030,12.751902,30.665244,165
Aj Jazirah,245,SD15,14.589485,33.27362,Ar Rashad,SD07093,11.785499,31.091876,2765
Khartoum,3829,SD01,15.851318,32.843002,Ar Rashad,SD07093,11.785499,31.091876,4991
North Kordofan,227,SD13,14.847728,29.761701,Ar Rashad,SD07093,11.785499,31.091876,3328
South Kordofan,1347,SD07,11.293547,30.847982,Ar Rashad,SD07093,11.785499,31.091876,2657
White Nile,75,SD09,13.359391,32.316944,Ar Rashad,SD07093,11.785499,31.091876,1830
West Kordofan,20,SD18,11.906944,28.392115,Ar Rashad,SD07093,11.785499,31.091876,150
South Kordofan,19085,SD07,11.293547,30.847982,Ar Reif Ash Shargi,SD07097,11.260003,29.853661,19085
Khartoum,6823,SD01,15.851318,32.843002,As Salam - WK,SD18086,11.304914,28.217431,12833
North Kordofan,35,SD13,14.847728,29.761701,As Salam - WK,SD18086,11.304914,28.217431,303
South Kordofan,145,SD07,11.293547,30.847982,As Salam - WK,SD18086,11.304914,28.217431,291
West Kordofan,5925,SD18,11.906944,28.392115,As Salam - WK,SD18086,11.304914,28.217431,7950
Khartoum,1368,SD01,15.851318,32.843002,As Sunut,SD18092,12.025664,28.908089,1679
West Kordofan,865,SD18,11.906944,28.392115,As Sunut,SD18092,12.025664,28.908089,1215
North Kordofan,156,SD13,14.847728,29.761701,As Sunut,SD18092,12.025664,28.908089,595
East Darfur,5,SD05,11.017195,26.409638,As Sunut,SD18092,12.025664,28.908089,85
Khartoum,1137,SD01,15.851318,32.843002,At Tadamon - SK,SD07106,12.052538,31.679317,1216
North Kordofan,5,SD13,14.847728,29.761701,At Tadamon - SK,SD07106,12.052538,31.679317,55
White Nile,59,SD09,13.359391,32.316944,At Tadamon - SK,SD07106,12.052538,31.679317,228
Aj Jazirah,15,SD15,14.589485,33.27362,At Tadamon - SK,SD07106,12.052538,31.679317,76
Khartoum,149,SD01,15.851318,32.843002,Babanusa,SD18100,11.323818,27.590653,13954
West Kordofan,24945,SD18,11.906944,28.392115,Babanusa,SD18100,11.323818,27.590653,25025
Aj Jazirah,1648,SD15,14.589485,33.27362,Bara,SD13026,14.050263,30.906266,7560
Khartoum,28458,SD01,15.851318,32.843002,Bara,SD13026,14.050263,30.906266,31616
North Kordofan,1260,SD13,14.847728,29.761701,Bara,SD13026,14.050263,30.906266,3955
Sennar,235,SD14,12.907198,34.042836,Bara,SD13026,14.050263,30.906266,1890
South Kordofan,600,SD07,11.293547,30.847982,Bara,SD13026,14.050263,30.906266,2440
Khartoum,1420,SD01,15.851318,32.843002,Delami,SD07107,11.640414,30.325102,1420
Khartoum,8045,SD01,15.851318,32.843002,Dilling,SD07095,11.931878,29.526205,13970
South Kordofan,5920,SD07,11.293547,30.847982,Dilling,SD07095,11.931878,29.526205,10103
North Kordofan,5,SD13,14.847728,29.761701,Dilling,SD07095,11.931878,29.526205,1055
Khartoum,6741,SD01,15.851318,32.843002,Gebrat Al Sheikh,SD13027,15.403081,30.910448,6741
Khartoum,2460,SD01,15.851318,32.843002,Ghadeer,SD07108,10.705333,31.107582,2460
Khartoum,6253,SD01,15.851318,32.843002,Gharb Bara,SD13029,13.924252,29.676256,7415
North Kordofan,1812,SD13,14.847728,29.761701,Gharb Bara,SD13029,13.924252,29.676256,4446
Khartoum,4774,SD01,15.851318,32.843002,Ghubaish,SD18021,12.29314,27.493797,6532
South Darfur,90,SD03,11.00282,24.420469,Ghubaish,SD18021,12.29314,27.493797,300
West Kordofan,1195,SD18,11.906944,28.392115,Ghubaish,SD18021,12.29314,27.493797,2125
North Kordofan,987,SD13,14.847728,29.761701,Ghubaish,SD18021,12.29314,27.493797,2555
North Darfur,71,SD02,16.217571,25.556517,Ghubaish,SD18021,12.29314,27.493797,519
Khartoum,2484,SD01,15.851318,32.843002,Habila - SK,SD07103,11.983229,30.059404,54909
South Kordofan,52615,SD07,11.293547,30.847982,Habila - SK,SD07103,11.983229,30.059404,54335
North Kordofan,697,SD13,14.847728,29.761701,Habila - SK,SD07103,11.983229,30.059404,817
Khartoum,6683,SD01,15.851318,32.843002,Kadugli,SD07098,11.061683,29.582842,11302
South Kordofan,6014,SD07,11.293547,30.847982,Kadugli,SD07098,11.061683,29.582842,9094
North Kordofan,295,SD13,14.847728,29.761701,Kadugli,SD07098,11.061683,29.582842,1995
West Kordofan,10,SD18,11.906944,28.392115,Kadugli,SD07098,11.061683,29.582842,285
White Nile,10,SD09,13.359391,32.316944,Kadugli,SD07098,11.061683,29.582842,285
Khartoum,165,SD01,15.851318,32.843002,Keilak,SD18085,10.60813,29.315316,265
North Kordofan,160,SD13,14.847728,29.761701,Keilak,SD18085,10.60813,29.315316,995
South Kordofan,912,SD07,11.293547,30.847982,Keilak,SD18085,10.60813,29.315316,1387
West Kordofan,515,SD18,11.906944,28.392115,Keilak,SD18085,10.60813,29.315316,720
Khartoum,9016,SD01,15.851318,32.843002,Sheikan,SD13024,13.074924,30.061859,13361
North Kordofan,10021,SD13,14.847728,29.761701,Sheikan,SD13024,13.074924,30.061859,15652
South Kordofan,1605,SD07,11.293547,30.847982,Sheikan,SD13024,13.074924,30.061859,8868
White Nile,125,SD09,13.359391,32.316944,Sheikan,SD13024,13.074924,30.061859,1235
West Kordofan,365,SD18,11.906944,28.392115,Sheikan,SD13024,13.074924,30.061859,1560
Khartoum,2438,SD01,15.851318,32.843002,Soudari,SD13025,15.376297,28.509012,2438
Khartoum,2013,SD01,15.851318,32.843002,Talawdi,SD07089,10.555725,30.405758,2013
Khartoum,14846,SD01,15.851318,32.843002,Um Dam Haj Ahmed,SD13028,13.669057,30.824667,14846
Khartoum,26915,SD01,15.851318,32.843002,Um Rawaba,SD13023,13.155361,31.372576,28953
North Kordofan,3971,SD13,14.847728,29.761701,Um Rawaba,SD13023,13.155361,31.372576,6618
Khartoum,3628,SD01,15.851318,32.843002,Wad Bandah,SD18029,13.212707,27.716197,4586
North Kordofan,193,SD13,14.847728,29.761701,Wad Bandah,SD18029,13.212707,27.716197,2777
North Darfur,740,SD02,16.217571,25.556517,Wad Bandah,SD18029,13.212707,27.716197,1142
West Kordofan,169,SD18,11.906944,28.392115,Wad Bandah,SD18029,13.212707,27.716197,749
